version,opt,threads,runs,avg_guess,avg_hash,avg_train,avg_total
OMP,O2,4,5,0.388122,1.074916,25.307800,1.463038
OMP,O0,1,5,7.739280,10.382520,93.134820,18.121800
OMP,O0,2,5,7.614320,10.480480,93.166800,18.094800
OMP,O0,4,5,7.471366,10.358300,94.859280,17.829666
OMP,O2,8,5,0.353344,1.062746,25.630460,1.416090
OMP,O1,1,5,0.564957,1.106756,25.719560,1.671713
OMP,O1,2,5,0.478263,1.171466,25.474040,1.649729
OMP,O0,8,5,7.439676,10.379800,94.910460,17.819476
OMP,O1,4,5,0.433422,1.195314,25.516500,1.628736
OMP,O2,1,5,0.557181,1.111946,25.227760,1.669127
OMP,O2,2,5,0.461398,1.109958,25.195560,1.571356
OMP,O1,8,5,0.389093,1.156178,25.207140,1.545271
