version,opt,threads,run,guess_time,hash_time,train_time,total_time,status,output_file
pthread,O0,1,1,7.91798,10.4111,93.3379,18.329080,ok,data/20260521-1405_pthread_O0_T1_run1.o
pthread,O0,1,2,7.85924,10.4255,90.1389,18.284740,ok,data/20260521-1412_pthread_O0_T1_run2.o
pthread,O0,1,3,7.84552,10.4081,90.5263,18.253620,ok,data/20260521-1419_pthread_O0_T1_run3.o
pthread,O0,1,4,7.89758,10.4265,89.6645,18.324080,ok,data/20260521-1426_pthread_O0_T1_run4.o
pthread,O0,1,5,7.8845,10.4653,89.6039,18.349800,ok,data/20260521-1433_pthread_O0_T1_run5.o
pthread,O0,2,1,7.80006,10.4412,89.5328,18.241260,ok,data/20260521-1440_pthread_O0_T2_run1.o
pthread,O0,2,2,8.53459,10.3504,90.2543,18.884990,ok,data/20260521-1447_pthread_O0_T2_run2.o
pthread,O0,2,3,7.71819,10.4032,92.4336,18.121390,ok,data/20260521-1455_pthread_O0_T2_run3.o
pthread,O0,2,4,7.84756,10.4577,93.1684,18.305260,ok,data/20260521-1502_pthread_O0_T2_run4.o
pthread,O0,2,5,7.64138,10.3441,96.9293,17.985480,ok,data/20260521-1509_pthread_O0_T2_run5.o
pthread,O0,4,1,7.54999,10.3264,93.6389,17.876390,ok,data/20260521-1516_pthread_O0_T4_run1.o
pthread,O0,4,2,7.76763,10.5867,90.4845,18.354330,ok,data/20260521-1523_pthread_O0_T4_run2.o
pthread,O0,4,3,7.67317,10.3138,90.4117,17.986970,ok,data/20260521-1530_pthread_O0_T4_run3.o
pthread,O0,4,4,7.62176,10.2907,94.4199,17.912460,ok,data/20260521-1537_pthread_O0_T4_run4.o
pthread,O0,4,5,7.68894,10.3031,95.093,17.992040,ok,data/20260521-1544_pthread_O0_T4_run5.o
pthread,O0,8,1,7.58199,10.306,92.9533,17.887990,ok,data/20260521-1551_pthread_O0_T8_run1.o
pthread,O0,8,2,7.5118,10.2437,94.5525,17.755500,ok,data/20260521-1559_pthread_O0_T8_run2.o
pthread,O0,8,3,7.68948,10.2901,95.3252,17.979580,ok,data/20260521-1606_pthread_O0_T8_run3.o
pthread,O0,8,4,7.57727,10.224,91.4376,17.801270,ok,data/20260521-1613_pthread_O0_T8_run4.o
pthread,O0,8,5,7.69329,10.2721,92.7056,17.965390,ok,data/20260521-1620_pthread_O0_T8_run5.o
pthread,O0,16,1,7.57877,10.3374,92.5683,17.916170,ok,data/20260521-1627_pthread_O0_T16_run1.o
pthread,O0,16,2,7.61653,10.3064,90.8321,17.922930,ok,data/20260521-1634_pthread_O0_T16_run2.o
pthread,O0,16,3,7.47341,10.2659,93.0439,17.739310,ok,data/20260521-1641_pthread_O0_T16_run3.o
pthread,O0,16,4,7.48783,10.2243,93.7084,17.712130,ok,data/20260521-1648_pthread_O0_T16_run4.o
pthread,O0,16,5,7.6876,10.2467,98.0137,17.934300,ok,data/20260521-1656_pthread_O0_T16_run5.o
pthread,O1,1,1,0.59252,1.14721,25.9826,1.739730,ok,data/20260521-1701_pthread_O1_T1_run1.o
pthread,O1,1,2,0.601872,1.19575,25.1921,1.797622,ok,data/20260521-1707_pthread_O1_T1_run2.o
pthread,O1,1,3,0.583141,1.14428,25.4568,1.727421,ok,data/20260521-1713_pthread_O1_T1_run3.o
pthread,O1,1,4,0.652968,1.43314,25.6295,2.086108,ok,data/20260521-1718_pthread_O1_T1_run4.o
pthread,O1,1,5,0.577652,1.13614,25.7561,1.713792,ok,data/20260521-1724_pthread_O1_T1_run5.o
pthread,O1,2,1,0.522666,1.18316,25.6103,1.705826,ok,data/20260521-1730_pthread_O1_T2_run1.o
pthread,O1,2,2,0.498431,1.13903,25.1973,1.637461,ok,data/20260521-1735_pthread_O1_T2_run2.o
pthread,O1,2,3,0.510054,1.15276,25.8483,1.662814,ok,data/20260521-1741_pthread_O1_T2_run3.o
pthread,O1,2,4,0.512366,1.14411,24.0059,1.656476,ok,data/20260521-1746_pthread_O1_T2_run4.o
pthread,O1,2,5,0.673969,1.38942,26.3589,2.063389,ok,data/20260521-1752_pthread_O1_T2_run5.o
pthread,O1,4,1,0.473814,1.20184,24.6311,1.675654,ok,data/20260521-1758_pthread_O1_T4_run1.o
pthread,O1,4,2,0.48835,1.19466,25.4636,1.683010,ok,data/20260521-1803_pthread_O1_T4_run2.o
pthread,O1,4,3,0.464741,1.22405,24.2785,1.688791,ok,data/20260521-1809_pthread_O1_T4_run3.o
pthread,O1,4,4,0.492435,1.2734,25.0469,1.765835,ok,data/20260521-1814_pthread_O1_T4_run4.o
pthread,O1,4,5,0.653232,1.4778,26.0247,2.131032,ok,data/20260521-1820_pthread_O1_T4_run5.o
pthread,O1,8,1,0.460341,1.18305,24.4357,1.643391,ok,data/20260521-1826_pthread_O1_T8_run1.o
pthread,O1,8,2,0.498779,1.17938,24.7637,1.678159,ok,data/20260521-1831_pthread_O1_T8_run2.o
pthread,O1,8,3,0.465355,1.12653,25.7692,1.591885,ok,data/20260521-1837_pthread_O1_T8_run3.o
pthread,O1,8,1,0.44633,1.15844,25.605,1.604770,ok,data/20260521-1840_pthread_O1_T8_run1.o
pthread,O1,8,4,0.460257,1.16941,25.4269,1.629667,ok,data/20260521-1843_pthread_O1_T8_run4.o
pthread,O1,8,5,1.40004,1.30633,25.1307,2.706370,ok,data/20260521-1848_pthread_O1_T8_run5.o
pthread,O1,16,1,0.544388,1.31099,25.0079,1.855378,ok,data/20260521-1854_pthread_O1_T16_run1.o
pthread,O1,16,2,0.513568,1.17678,24.8758,1.690348,ok,data/20260521-1859_pthread_O1_T16_run2.o
pthread,O1,16,3,0.629417,1.29445,22.7111,1.923867,ok,data/20260521-1905_pthread_O1_T16_run3.o
pthread,O1,16,4,0.490262,1.15271,26.0804,1.642972,ok,data/20260521-1911_pthread_O1_T16_run4.o
pthread,O1,16,5,0.504902,1.15785,25.3967,1.662752,ok,data/20260521-1916_pthread_O1_T16_run5.o
pthread,O2,1,1,0.524028,1.0672,24.5278,1.591228,ok,data/20260521-1922_pthread_O2_T1_run1.o
pthread,O2,1,2,0.525228,1.05901,24.18,1.584238,ok,data/20260521-1928_pthread_O2_T1_run2.o
pthread,O2,1,3,0.519179,1.06677,25.7657,1.585949,ok,data/20260521-1933_pthread_O2_T1_run3.o
pthread,O2,1,4,0.517715,1.05602,24.7982,1.573735,ok,data/20260521-1939_pthread_O2_T1_run4.o
pthread,O2,1,5,0.501126,1.05279,25.0327,1.553916,ok,data/20260521-1944_pthread_O2_T1_run5.o
pthread,O2,2,1,0.463954,1.04321,27.6864,1.507164,ok,data/20260521-1950_pthread_O2_T2_run1.o
pthread,O2,2,2,0.493455,1.09122,24.6074,1.584675,ok,data/20260521-1956_pthread_O2_T2_run2.o
pthread,O2,2,3,0.504046,1.09627,25.8474,1.600316,ok,data/20260521-2001_pthread_O2_T2_run3.o
pthread,O2,2,4,0.468285,1.10466,25.2552,1.572945,ok,data/20260521-2007_pthread_O2_T2_run4.o
pthread,O2,2,5,0.641042,1.21796,28.0119,1.859002,ok,data/20260521-2013_pthread_O2_T2_run5.o
pthread,O2,4,1,0.419905,1.08702,25.7669,1.506925,ok,data/20260521-2018_pthread_O2_T4_run1.o
pthread,O2,4,2,0.42333,1.06688,25.5143,1.490210,ok,data/20260521-2024_pthread_O2_T4_run2.o
pthread,O2,4,3,0.425638,1.0743,25.5359,1.499938,ok,data/20260521-2030_pthread_O2_T4_run3.o
pthread,O2,4,4,0.466169,1.11326,22.7256,1.579429,ok,data/20260521-2035_pthread_O2_T4_run4.o
pthread,O2,4,5,0.472766,1.1326,24.806,1.605366,ok,data/20260521-2041_pthread_O2_T4_run5.o
pthread,O2,8,1,0.459228,1.09318,25.2262,1.552408,ok,data/20260521-2046_pthread_O2_T8_run1.o
pthread,O2,8,2,0.452305,1.099,23.9781,1.551305,ok,data/20260521-2052_pthread_O2_T8_run2.o
pthread,O2,8,3,0.433853,1.06748,24.5976,1.501333,ok,data/20260521-2058_pthread_O2_T8_run3.o
pthread,O2,8,4,0.465252,1.06939,23.7381,1.534642,ok,data/20260521-2103_pthread_O2_T8_run4.o
pthread,O2,8,5,0.54022,1.16519,26.6302,1.705410,ok,data/20260521-2109_pthread_O2_T8_run5.o
pthread,O2,16,1,0.437084,1.08715,21.9303,1.524234,ok,data/20260521-2114_pthread_O2_T16_run1.o
pthread,O2,16,2,0.439383,1.07354,25.0546,1.512923,ok,data/20260521-2120_pthread_O2_T16_run2.o
pthread,O2,16,3,0.522454,1.07994,25.5496,1.602394,ok,data/20260521-2126_pthread_O2_T16_run3.o
pthread,O2,16,4,0.428291,1.06402,25.2955,1.492311,ok,data/20260521-2131_pthread_O2_T16_run4.o
pthread,O2,16,5,0.440874,1.06932,23.0575,1.510194,ok,data/20260521-2137_pthread_O2_T16_run5.o
