task_id	job_id	version	nodes	ppn	np	generate	run
1	44778.master_ubss1	base	1	1	1	10000000	1
2	44779.master_ubss1	base	1	1	1	10000000	2
3	44780.master_ubss1	base	1	1	1	10000000	3
4	44781.master_ubss1	base	1	2	2	10000000	1
5	44782.master_ubss1	base	1	2	2	10000000	2
6	44783.master_ubss1	base	1	2	2	10000000	3
7	44784.master_ubss1	base	1	4	4	10000000	1
8	44785.master_ubss1	base	1	4	4	10000000	2
9	44786.master_ubss1	base	1	4	4	10000000	3
10	44787.master_ubss1	base	1	8	8	10000000	1
11	44788.master_ubss1	base	1	8	8	10000000	2
12	44789.master_ubss1	base	1	8	8	10000000	3
13	44790.master_ubss1	base	2	8	16	10000000	1
14	44791.master_ubss1	base	2	8	16	10000000	2
15	44792.master_ubss1	base	2	8	16	10000000	3
16	44793.master_ubss1	base	4	8	32	10000000	1
17	44794.master_ubss1	base	4	8	32	10000000	2
18	44795.master_ubss1	base	4	8	32	10000000	3
